Listing...
2ping/jammy,now 4.5-1 all [installed]
adduser/jammy,now 3.118ubuntu5 all [installed]
adwaita-icon-theme/jammy,now 41.0-1ubuntu1 all [installed]
alex/jammy,now 3.2.5-2build1.1 armhf [installed]
alsa-topology-conf/jammy,now 1.2.5.1-2 all [installed]
alsa-ucm-conf/jammy,now 1.2.6.3-1ubuntu1 all [installed]
apport-symptoms/jammy,now 0.24 all [installed]
apport/jammy,now 2.20.11-0ubuntu82 all [installed]
apt-utils/jammy,now 2.4.5 armhf [installed]
apt/jammy,now 2.4.5 armhf [installed]
at-spi2-core/jammy,now 2.44.0-3 armhf [installed]
attr/jammy,now 1:2.5.1-1build1 armhf [installed]
autoconf-archive/jammy,now 20210219-2.1 all [installed]
autoconf/jammy,now 2.71-2 all [installed]
automake/jammy,now 1:1.16.5-1.3 all [installed]
autopoint/jammy,now 0.21-4ubuntu4 all [installed]
autotools-dev/jammy,now 20220109.1 all [installed]
base-files/jammy,now 12ubuntu4 armhf [installed]
base-passwd/jammy,now 3.5.52build1 armhf [installed]
bash-completion/jammy,now 1:2.11-5ubuntu1 all [installed]
bash/jammy,now 5.1-6ubuntu1 armhf [installed]
binfmt-support/jammy,now 2.2.1-2 armhf [installed]
binutils-arm-linux-gnueabihf/jammy,now 2.38-3ubuntu1 armhf [installed]
binutils-common/jammy,now 2.38-3ubuntu1 armhf [installed]
binutils/jammy,now 2.38-3ubuntu1 armhf [installed]
bison/jammy,now 2:3.8.2+dfsg-1build1 armhf [installed]
blt/jammy,now 2.5.3+dfsg-4.1build2 armhf [installed]
bluez-obexd/jammy,now 5.64-0ubuntu1 armhf [installed]
bluez-tools/jammy,now 2.0~20170911.0.7cb788c-4 armhf [installed]
bluez/jammy,now 5.64-0ubuntu1 armhf [installed]
bsdextrautils/jammy,now 2.37.2-4ubuntu3 armhf [installed]
bsdmainutils/jammy,now 12.1.7+nmu3ubuntu2 all [installed]
bsdutils/jammy,now 1:2.37.2-4ubuntu3 armhf [installed]
build-essential/jammy,now 12.9ubuntu3 armhf [installed]
bzip2/jammy,now 1.0.8-5build1 armhf [installed]
ca-certificates-java/jammy,now 20190909 all [installed]
ca-certificates/jammy,now 20211016 all [installed]
ccache/jammy,now 4.5.1-1 armhf [installed]
check/jammy,now 0.15.2-2 armhf [installed]
cmake-data/jammy,now 3.22.1-1ubuntu1 all [installed]
cmake/jammy,now 3.22.1-1ubuntu1 armhf [installed]
console-setup-linux/jammy,now 1.205ubuntu3 all [installed]
console-setup/jammy,now 1.205ubuntu3 all [installed]
containerd.io/jammy,now 1.7.26-1 armhf [installed]
coreutils/jammy,now 8.32-4.1ubuntu1 armhf [installed]
cpio/jammy,now 2.13+dfsg-7 armhf [installed]
cpp-11/jammy,now 11.2.0-19ubuntu1 armhf [installed]
cpp-9/jammy,now 9.4.0-5ubuntu1 armhf [installed]
cpp/jammy,now 4:11.2.0-1ubuntu1 armhf [installed]
cpufrequtils/jammy,now 008-2build1 armhf [installed]
cron/jammy,now 3.0pl1-137ubuntu3 armhf [installed]
curl/jammy,now 7.81.0-1 armhf [installed]
dash/jammy,now 0.5.11+git20210903+057cd650a4ed-3build1 armhf [installed]
dbus-user-session/jammy,now 1.12.20-2ubuntu4 armhf [installed]
dbus-x11/jammy,now 1.12.20-2ubuntu4 armhf [installed]
dbus/jammy,now 1.12.20-2ubuntu4 armhf [installed]
dconf-gsettings-backend/jammy,now 0.40.0-3 armhf [installed]
dconf-service/jammy,now 0.40.0-3 armhf [installed]
debconf-i18n/jammy,now 1.5.79ubuntu1 all [installed]
debconf/jammy,now 1.5.79ubuntu1 all [installed]
debhelper/jammy,now 13.6ubuntu1 all [installed]
debianutils/jammy,now 5.5-1ubuntu2 armhf [installed]
